id,company,acct_created
0,Fashion Forward Ltd,2022-01-31 00:00:00
1,Urban Styles Inc,2022-02-28 00:00:00
2,Elite Wear Co,2022-03-31 00:00:00
3,Trendsetters Hub,2022-04-30 00:00:00
4,Modish Apparel,2022-05-31 00:00:00
5,Chic Couture,2022-06-30 00:00:00
6,Vogue Essentials,2022-07-31 00:00:00
7,Runway Ready,2022-08-31 00:00:00
8,Streetwear Kings,2022-09-30 00:00:00
9,Casual Comforts,2022-10-31 00:00:00
10,Luxury Threads,2022-11-30 00:00:00
11,Denim Dynasty,2022-12-31 00:00:00
12,ActiveWear Pros,2023-01-31 00:00:00
13,Formal Finesse,2023-02-28 00:00:00
14,Boho Chic Creations,2023-03-31 00:00:00
